"ItemCode","ItemName","StatisticsYear"
"1","穀類","2011～2013年平均"
"2","米","2011～2013年平均"
"3","パン","2011～2013年平均"
"4","食パン","2011～2013年平均"
"5","他のパン","2011～2013年平均"
"6","めん類","2011～2013年平均"
"7","生うどん・そば","2011～2013年平均"
"8","乾うどん・そば","2011～2013年平均"
"9","スパゲッティ","2011～2013年平均"
"10","中華めん","2011～2013年平均"
"11","カップめん","2011～2013年平均"
"12","即席めん","2011～2013年平均"
"13","他のめん類","2011～2013年平均"
"14","他の穀類","2011～2013年平均"
"15","小麦粉","2011～2013年平均"
"16","もち","2011～2013年平均"
"17","他の穀類のその他","2011～2013年平均"
"18","魚介類","2011～2013年平均"
"19","生鮮魚介","2011～2013年平均"
"20","鮮魚","2011～2013年平均"
"21","まぐろ","2011～2013年平均"
"22","あじ","2011～2013年平均"
"23","いわし","2011～2013年平均"
"24","かつお","2011～2013年平均"
"25","かれい","2011～2013年平均"
"26","さけ","2011～2013年平均"
"27","さば","2011～2013年平均"
"28","さんま","2011～2013年平均"
"29","たい","2011～2013年平均"
"30","ぶり","2011～2013年平均"
"31","いか","2011～2013年平均"
"32","たこ","2011～2013年平均"
"33","えび","2011～2013年平均"
"34","かに","2011～2013年平均"
"35","他の鮮魚","2011～2013年平均"
"36","さしみ盛合わせ","2011～2013年平均"
"37","貝類","2011～2013年平均"
"38","あさり","2011～2013年平均"
"39","しじみ","2011～2013年平均"
"40","かき（貝）","2011～2013年平均"
"41","ほたて貝","2011～2013年平均"
"42","他の貝","2011～2013年平均"
"43","塩干魚介","2011～2013年平均"
"44","塩さけ","2011～2013年平均"
"45","たらこ","2011～2013年平均"
"46","しらす干し","2011～2013年平均"
"47","干しあじ","2011～2013年平均"
"48","煮干し","2011～2013年平均"
"49","他の塩干魚介","2011～2013年平均"
"50","魚肉練製品","2011～2013年平均"
"51","揚げかまぼこ","2011～2013年平均"
"52","ちくわ","2011～2013年平均"
"53","かまぼこ","2011～2013年平均"
"54","他の魚肉練製品","2011～2013年平均"
"55","他の魚介加工品","2011～2013年平均"
"56","かつお節・削り節","2011～2013年平均"
"57","魚介の漬物","2011～2013年平均"
"58","魚介のつくだ煮","2011～2013年平均"
"59","魚介の缶詰","2011～2013年平均"
"60","魚介加工品のその他","2011～2013年平均"
"61","肉類","2011～2013年平均"
"62","生鮮肉","2011～2013年平均"
"63","牛肉","2011～2013年平均"
"64","豚肉","2011～2013年平均"
"65","鶏肉","2011～2013年平均"
"66","合いびき肉","2011～2013年平均"
"67","他の生鮮肉","2011～2013年平均"
"68","加工肉","2011～2013年平均"
"69","ハム","2011～2013年平均"
"70","ソーセージ","2011～2013年平均"
"71","ベーコン","2011～2013年平均"
"72","他の加工肉","2011～2013年平均"
"73","乳卵類","2011～2013年平均"
"74","牛乳","2011～2013年平均"
"75","乳製品","2011～2013年平均"
"76","粉ミルク","2011～2013年平均"
"77","ヨーグルト","2011～2013年平均"
"78","バター","2011～2013年平均"
"79","チーズ","2011～2013年平均"
"80","他の乳製品","2011～2013年平均"
"81","卵","2011～2013年平均"
"82","野菜・海藻","2011～2013年平均"
"83","生鮮野菜","2011～2013年平均"
"84","葉茎菜","2011～2013年平均"
"85","キャベツ","2011～2013年平均"
"86","ほうれんそう","2011～2013年平均"
"87","はくさい","2011～2013年平均"
"88","ねぎ","2011～2013年平均"
"89","レタス","2011～2013年平均"
"90","ブロッコリー","2011～2013年平均"
"91","もやし","2011～2013年平均"
"92","他の葉茎菜","2011～2013年平均"
"93","根菜","2011～2013年平均"
"94","さつまいも","2011～2013年平均"
"95","じゃがいも","2011～2013年平均"
"96","さといも","2011～2013年平均"
"97","だいこん","2011～2013年平均"
"98","にんじん","2011～2013年平均"
"99","ごぼう","2011～2013年平均"
"100","たまねぎ","2011～2013年平均"
"101","れんこん","2011～2013年平均"
"102","たけのこ","2011～2013年平均"
"103","他の根菜","2011～2013年平均"
"104","他の野菜","2011～2013年平均"
"105","さやまめ","2011～2013年平均"
"106","かぼちゃ","2011～2013年平均"
"107","きゅうり","2011～2013年平均"
"108","なす","2011～2013年平均"
"109","トマト","2011～2013年平均"
"110","ピーマン","2011～2013年平均"
"111","生しいたけ","2011～2013年平均"
"112","他のきのこ","2011～2013年平均"
"113","他の野菜のその他","2011～2013年平均"
"114","乾物・海藻","2011～2013年平均"
"115","豆類","2011～2013年平均"
"116","干ししいたけ","2011～2013年平均"
"117","干しのり","2011～2013年平均"
"118","わかめ","2011～2013年平均"
"119","こんぶ","2011～2013年平均"
"120","他の乾物・海藻","2011～2013年平均"
"121","大豆加工品","2011～2013年平均"
"122","豆腐","2011～2013年平均"
"123","油揚げ・がんもどき","2011～2013年平均"
"124","納豆","2011～2013年平均"
"125","他の大豆製品","2011～2013年平均"
"126","他の野菜・海藻加工品","2011～2013年平均"
"127","こんにゃく","2011～2013年平均"
"128","梅干し","2011～2013年平均"
"129","だいこん漬","2011～2013年平均"
"130","はくさい漬","2011～2013年平均"
"131","他の野菜の漬物","2011～2013年平均"
"132","こんぶつくだ煮","2011～2013年平均"
"133","他の野菜・海藻の佃煮","2011～2013年平均"
"134","他の野菜・海藻加工品その他","2011～2013年平均"
"135","果物","2011～2013年平均"
"136","生鮮果物","2011～2013年平均"
"137","りんご","2011～2013年平均"
"138","みかん","2011～2013年平均"
"139","グレープフルーツ","2011～2013年平均"
"140","オレンジ","2011～2013年平均"
"141","他の柑きつ類","2011～2013年平均"
"142","なし","2011～2013年平均"
"143","ぶどう","2011～2013年平均"
"144","かき（果物）","2011～2013年平均"
